A,B,C,Expected,Category,Prompt,Model_Output,Correct
grandson,granddaughter,son,daughter,Gender (Nuclear Family),"
Complete the analogy.

grandson is to granddaughter as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
grandson,granddaughter,stepbrother,stepsister,Gender (Step-family),"
Complete the analogy.

grandson is to granddaughter as stepbrother is to ____.

Respond with ONE word only.
Answer:
",stepdaughter,False
grandson,granddaughter,stepfather,stepmother,Gender (Step-family),"
Complete the analogy.

grandson is to granddaughter as stepfather is to ____.

Respond with ONE word only.
Answer:
",daughter,False
grandson,granddaughter,stepson,stepdaughter,Gender (Step-family),"
Complete the analogy.

grandson is to granddaughter as stepson is to ____.

Respond with ONE word only.
Answer:
",daughter,False
grandson,granddaughter,uncle,aunt,Gender (Extended Family),"
Complete the analogy.

grandson is to granddaughter as uncle is to ____.

Respond with ONE word only.
Answer:
",neice,False
grandson,granddaughter,groom,bride,Gender (Titles & Roles),"
Complete the analogy.

grandson is to granddaughter as groom is to ____.

Respond with ONE word only.
Answer:
",bride,True
grandson,granddaughter,king,queen,Gender (Titles & Roles),"
Complete the analogy.

grandson is to granddaughter as king is to ____.

Respond with ONE word only.
Answer:
",queen,True
grandson,granddaughter,policeman,policewoman,Gender (Titles & Roles),"
Complete the analogy.

grandson is to granddaughter as policeman is to ____.

Respond with ONE word only.
Answer:
",officer,False
grandson,granddaughter,prince,princess,Gender (Titles & Roles),"
Complete the analogy.

grandson is to granddaughter as prince is to ____.

Respond with ONE word only.
Answer:
",princess,True
grandson,granddaughter,boy,girl,Gender (Core),"
Complete the analogy.

grandson is to granddaughter as boy is to ____.

Respond with ONE word only.
Answer:
",girl,True
grandson,granddaughter,brother,sister,Gender (Nuclear Family),"
Complete the analogy.

grandson is to granddaughter as brother is to ____.

Respond with ONE word only.
Answer:
",sister,True
grandson,granddaughter,dad,mom,Gender (Nuclear Family),"
Complete the analogy.

grandson is to granddaughter as dad is to ____.

Respond with ONE word only.
Answer:
",son,False
husband,wife,man,woman,Gender (Core),"
Complete the analogy.

husband is to wife as man is to ____.

Respond with ONE word only.
Answer:
",woman,True
husband,wife,nephew,niece,Gender (Extended Family),"
Complete the analogy.

husband is to wife as nephew is to ____.

Respond with ONE word only.
Answer:
",niece,True
husband,wife,son,daughter,Gender (Nuclear Family),"
Complete the analogy.

husband is to wife as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
husband,wife,stepbrother,stepsister,Gender (Step-family),"
Complete the analogy.

husband is to wife as stepbrother is to ____.

Respond with ONE word only.
Answer:
",stepsister,True
husband,wife,stepfather,stepmother,Gender (Step-family),"
Complete the analogy.

husband is to wife as stepfather is to ____.

Respond with ONE word only.
Answer:
",stepmother,True
husband,wife,stepson,stepdaughter,Gender (Step-family),"
Complete the analogy.

husband is to wife as stepson is to ____.

Respond with ONE word only.
Answer:
",daughter,False
husband,wife,uncle,aunt,Gender (Extended Family),"
Complete the analogy.

husband is to wife as uncle is to ____.

Respond with ONE word only.
Answer:
",nephew,False
husband,wife,king,queen,Gender (Titles & Roles),"
Complete the analogy.

husband is to wife as king is to ____.

Respond with ONE word only.
Answer:
",queen,True
husband,wife,policeman,policewoman,Gender (Titles & Roles),"
Complete the analogy.

husband is to wife as policeman is to ____.

Respond with ONE word only.
Answer:
",woman,False
husband,wife,prince,princess,Gender (Titles & Roles),"
Complete the analogy.

husband is to wife as prince is to ____.

Respond with ONE word only.
Answer:
",princess,True
man,woman,nephew,niece,Gender (Extended Family),"
Complete the analogy.

man is to woman as nephew is to ____.

Respond with ONE word only.
Answer:
",niece,True
man,woman,son,daughter,Gender (Nuclear Family),"
Complete the analogy.

man is to woman as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
man,woman,stepbrother,stepsister,Gender (Step-family),"
Complete the analogy.

man is to woman as stepbrother is to ____.

Respond with ONE word only.
Answer:
",sister,False
man,woman,stepfather,stepmother,Gender (Step-family),"
Complete the analogy.

man is to woman as stepfather is to ____.

Respond with ONE word only.
Answer:
",daughter,False
man,woman,stepson,stepdaughter,Gender (Step-family),"
Complete the analogy.

man is to woman as stepson is to ____.

Respond with ONE word only.
Answer:
",daughter,False
man,woman,uncle,aunt,Gender (Extended Family),"
Complete the analogy.

man is to woman as uncle is to ____.

Respond with ONE word only.
Answer:
",nephew,False
man,woman,policeman,policewoman,Gender (Titles & Roles),"
Complete the analogy.

man is to woman as policeman is to ____.

Respond with ONE word only.
Answer:
",policewoman,True
man,woman,prince,princess,Gender (Titles & Roles),"
Complete the analogy.

man is to woman as prince is to ____.

Respond with ONE word only.
Answer:
",princess,True
man,woman,boy,girl,Gender (Core),"
Complete the analogy.

man is to woman as boy is to ____.

Respond with ONE word only.
Answer:
",girl,True
man,woman,brother,sister,Gender (Nuclear Family),"
Complete the analogy.

man is to woman as brother is to ____.

Respond with ONE word only.
Answer:
",sister,True
stepbrother,stepsister,stepfather,stepmother,Gender (Step-family),"
Complete the analogy.

stepbrother is to stepsister as stepfather is to ____.

Respond with ONE word only.
Answer:
",stepdaughter,False
stepbrother,stepsister,stepson,stepdaughter,Gender (Step-family),"
Complete the analogy.

stepbrother is to stepsister as stepson is to ____.

Respond with ONE word only.
Answer:
",stepdaughter,True
stepfather,stepmother,stepson,stepdaughter,Gender (Step-family),"
Complete the analogy.

stepfather is to stepmother as stepson is to ____.

Respond with ONE word only.
Answer:
",daughter,False
stepson,stepdaughter,uncle,aunt,Gender (Step-family),"
Complete the analogy.

stepson is to stepdaughter as uncle is to ____.

Respond with ONE word only.
Answer:
",niece,False
stepbrother,stepsister,uncle,aunt,Gender (Step-family),"
Complete the analogy.

stepbrother is to stepsister as uncle is to ____.

Respond with ONE word only.
Answer:
",neice,False
king,queen,man,woman,Gender (Titles & Roles),"
Complete the analogy.

king is to queen as man is to ____.

Respond with ONE word only.
Answer:
",woman,True
king,queen,policeman,policewoman,Gender (Titles & Roles),"
Complete the analogy.

king is to queen as policeman is to ____.

Respond with ONE word only.
Answer:
",officer,False
king,queen,prince,princess,Gender (Titles & Roles),"
Complete the analogy.

king is to queen as prince is to ____.

Respond with ONE word only.
Answer:
",princess,True
king,queen,son,daughter,Gender (Titles & Roles),"
Complete the analogy.

king is to queen as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
policeman,policewoman,prince,princess,Gender (Titles & Roles),"
Complete the analogy.

policeman is to policewoman as prince is to ____.

Respond with ONE word only.
Answer:
",princess,True
policeman,policewoman,son,daughter,Gender (Titles & Roles),"
Complete the analogy.

policeman is to policewoman as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
prince,princess,son,daughter,Gender (Titles & Roles),"
Complete the analogy.

prince is to princess as son is to ____.

Respond with ONE word only.
Answer:
",daughter,True
groom,bride,husband,wife,Gender (Titles & Roles),"
Complete the analogy.

groom is to bride as husband is to ____.

Respond with ONE word only.
Answer:
",wife,True
groom,bride,king,queen,Gender (Titles & Roles),"
Complete the analogy.

groom is to bride as king is to ____.

Respond with ONE word only.
Answer:
",queen,True
groom,bride,man,woman,Gender (Titles & Roles),"
Complete the analogy.

groom is to bride as man is to ____.

Respond with ONE word only.
Answer:
",woman,True
he,she,his,her,Gender (Pronouns),"
Complete the analogy.

he is to she as his is to ____.

Respond with ONE word only.
Answer:
",her,True
he,she,husband,wife,Gender (Pronouns),"
Complete the analogy.

he is to she as husband is to ____.

Respond with ONE word only.
Answer:
",wife,True
he,she,king,queen,Gender (Pronouns),"
Complete the analogy.

he is to she as king is to ____.

Respond with ONE word only.
Answer:
",queen,True
he,she,man,woman,Gender (Pronouns),"
Complete the analogy.

he is to she as man is to ____.

Respond with ONE word only.
Answer:
",woman,True
he,she,nephew,niece,Gender (Pronouns),"
Complete the analogy.

he is to she as nephew is to ____.

Respond with ONE word only.
Answer:
",niece,True
